"id","ingredient_name","group_name","water_g","energy_kcal","protein_g","fat_g","ash_g","cho_g","fiber_g","calcium_mg","iron_mg","phosphorus_mg","potassium_mg","sodium_mg","zinc_mg","copper_mg","iodine_mg","selenium_mg","thiamin_mg","riboflavin_mg","niacin_mg","pantothenic_acid_mg","vitamin_b6_mg","folate_ug","choline_mg","vitamin_b12_ug","vitamin_a_iu","vitamin_e_mg","vitamin_d_iu","pufa_18_2_g","pufa_18_3_g","pufa_20_5_g","pufa_22_6_g","tryptophan_g","threonine_g","isoleucine_g","leucine_g","lysine_g","methionine_g","cystine_g","phenylalanine_g","tyrosine_g","valine_g","arginine_g","magnesium_mg"
51,"Sweet potatoes, raw","Vegetable C","77.3","378.8546","6.9162993","0.22026432","4.3612337","75.3304","13.215859","132.15858","2.6872246","207.0484581","1484.581498","242.2907489","1.321585903","0.665198238","0","0.002643172","0.343612335","0.268722467","2.453744493","3.524229075","0.920704846","0.04845815","54.18502203","0","62555.06608","1.145374449","0","0.057268722","0.004405286","0","0","0.136563877","0.365638767","0.242290749","0.405286344","0.290748899","0.127753304","0.0969163","0.392070485","0.149779736","0.378854626","0.242290749","110.1321586"
52,"Potatoes raw, skin","Vegetable C","83.3","347.3054","15.389221","0.5988024","9.640718","59.281437","14.97006","179.64072","19.401197","227.5449102","2473.053892","59.88023952","2.095808383","2.532934132","0","0.001796407","0.125748503","0.22754491","6.167664671","1.808383234","1.431137725","0.101796407","0","0","0","0","0","0.191616766","0.05988024","0","0","0","0","0","0","0","0","0","0","0","0","0","137.7245509"
53,"Celery, raw","Vegetable B","95.4","304.34784","15","3.6956522","16.304348","29.782608","34.782608","869.56525","4.347826","521.7391304","5652.173913","1739.130435","2.826086957","0.760869565","0","0.008695652","0.456521739","1.239130435","6.956521739","5.347826087","1.608695652","0.782608696","132.6086957","0","9760.869565","5.869565217","0","1.717391304","0","0","0","0.195652174","0.434782609","0.456521739","0.695652174","0.586956522","0.108695652","0.086956522","0.434782609","0.195652174","0.586956522","0.434782609","239.1304348"
57,"sunflower oil","Oil","0","884","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.1","0","65.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
58,"flaxseed oil","Oil","0","884","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.47","0","14.3","54.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
62,"strawberry","Fruit","91","355.55554","7.4444447","3.3333333","4.4444447","63.11111","22.222221","177.77777","4.5555553","266.6666667","1700","11.11111111","1.555555556","0.533333333","0","0.004444444","0.266666667","0.244444444","4.288888889","1.388888889","0.522222222","0.266666667","63.33333333","0","133.3333333","3.222222222","0","1","0.722222222","0","0","0.088888889","0.222222222","0.177777778","0.377777778","0.288888889","0.022222222","0.066666667","0.211111111","0.244444444","0.211111111","0.311111111","144.4444444"
63,"cranberries, raw","Fruit","87.3","362.2047","3.6220472","1.023622","0.9448819","66.14173","28.346457","62.992126","1.8110236","86.61417323","629.9212598","15.7480315","0.708661417","0.440944882","0","0.000787402","0.094488189","0.157480315","0.795275591","2.322834646","0.448818898","0.007874016","43.30708661","0","496.0629921","10.39370079","0","0.25984252","0.173228346","0","0","0.023622047","0.220472441","0.25984252","0.417322835","0.307086614","0.023622047","0.023622047","0.283464567","0.251968504","0.354330709","0.440944882","47.24409449"
64,"Banana","Fruit","74.9","354.58167","4.3426294","1.314741","3.2669322","80.47809","10.358565","19.920319","1.0358566","87.64940239","1426.294821","3.984063745","0.597609562","0.310756972","0","0.003984064","0.123505976","0.290836653","2.64940239","1.330677291","1.462151394","0.079681275","39.0438247","0","0","254.9800797","0.398406375","0.183266932","0.107569721","0","0","0.035856574","0.111553785","0.111553785","0.270916335","0.199203187","0.03187251","0.035856574","0.195219124","0.035856574","0.187250996","0.195219124","107.5697211"
65,"Mangos","Fruit","83.5","363.63635","4.969697","2.3030303","2.1818182","81.21212","9.69697","66.666664","0.969697","84.84848485","1018.181818","6.060606061","0.545454545","0.672727273","0","0.003636364","0.16969697","0.23030303","4.054545455","1.193939394","0.721212121","0.260606061","46.06060606","0","6545.454545","5.454545455","0","0.115151515","0.309090909","0","0","0.078787879","0.187878788","0.175757576","0.303030303","0.4","0.048484848","0","0.163636364","0.096969697","0.254545455","0.187878788","60.60606061"
66,"Pineapple, raw","Fruit","86","357.14285","3.857143","0.85714287","1.5714285","83.57143","10","92.85714","2.0714285","57.14285714","778.5714286","7.142857143","0.857142857","0.785714286","0","0.000714286","0.564285714","0.228571429","3.571428571","1.521428571","0.8","0.128571429","39.28571429","0","414.2857143","0.142857143","0","0.164285714","0.121428571","0","0","0.035714286","0.135714286","0.135714286","0.171428571","0.185714286","0.085714286","0.1","0.15","0.135714286","0.171428571","0.135714286","85.71428571"
6,"Wheat","Grain B","12.4","378.995","10.97","2.226","1.747","70.091","14.954","37.671","4.235","368.721","449.7716895","3.424657534","3.378995434","0.542237443","0","0.014497717","0.339041096","0.214611872","6.107305936","1.152968037","0.21803653","0.03196347","35.61643836","0.010273973","0.605022831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133.5616438"
7,"Zucchini","Vegetable A","94.8","326.923","23.269","6.154","11.154","40.577","19.231","307.692","7.115","730.7692308","5019.230769","153.8461538","6.153846154","1.019230769","0","0.003846154","0.865384615","1.807692308","8.673076923","3.923076923","3.134615385","0.461538462","182.6923077","0","3846.153846","2.307692308","0","0.576923077","1.173076923","0","0","0.192307692","0.557692308","0.846153846","1.365384615","1.288461538","0.346153846","0.230769231","0.826923077","0.615384615","1.038461538","0.980769231","346.1538462"
8,"Spinach","Vegetable A","91.4","267.442","33.256","4.535","20","16.628","25.581","1151.163","31.512","569.7674419","6488.372093","918.6046512","6.162790698","1.511627907","0","0.011627907","0.906976744","2.197674419","8.418604651","0.755813953","2.26744186","2.255813953","224.4186047","0","109069.7674","23.60465116","0","0.302325581","1.604651163","0","0","0.453488372","1.418604651","1.709302326","2.593023256","2.023255814","0.61627907","0.406976744","1.5","1.255813953","1.872093023","1.88372093","918.6046512"
10,"Apple","Fruit","85.6","361.111","1.806","1.181","1.319","79.167","16.667","41.667","0.833","76.38888889","743.0555556","6.944444444","0.277777778","0.1875","0","0","0.118055556","0.180555556","0.631944444","0.423611111","0.284722222","0.020833333","23.61111111","0","375","1.25","0","0.298611111","0.0625","0","0","0.006944444","0.041666667","0.041666667","0.090277778","0.083333333","0.006944444","0.006944444","0.041666667","0.006944444","0.083333333","0.041666667","34.72222222"
11,"Blueberry","Fruit","84.2","360.759","4.684","2.089","1.519","76.582","15.19","37.975","1.772","75.94936709","487.3417722","6.329113924","1.012658228","0.360759494","0","0.000632911","0.234177215","0.259493671","2.64556962","0.784810127","0.329113924","0.037974684","37.97468354","0","341.7721519","3.607594937","0","0.556962025","0.367088608","0","0","0.018987342","0.126582278","0.14556962","0.278481013","0.082278481","0.075949367","0.050632911","0.164556962","0.056962025","0.196202532","0.234177215","37.97468354"
3,"Deer meat","Meat Group C","71.2","545.139","75.694","24.757","3.056","0","0","38.194","10.139","697.917","1145.833","260.417","14.583","0.486","0.0","0.035","1.899","0.997","19.792","2.396","1.611","0.014","305.208","0.006493056","0","1.5625","0","0.78125","0.361111111","0","0","0.666666667","2.840277778","3.225694444","5.694444444","6.111111111","1.753472222","0.701388889","2.840277778","2.347222222","3.645833333","4.479166667","72.917"
4,"Beef liver","Organ Meat","70.8","462.329","69.863","12.432","4.486","13.322","0","17.123","16.781","1325.342466","1071.917808","236.3013699","13.69863014","33.42465753","0","0.135958904","0.647260274","9.452054795","45.20547945","24.55479452","3.698630137","0.993150685","1140.410959","0.203082192","57876.71233","1.301369863","167.8082192","1.023972603","0.054794521","0","0","0.900684932","2.976027397","3.311643836","6.54109589","5.51369863","1.859589041","1.287671233","3.698630137","2.76369863","4.315068493","4.246575342","61.64383562"
34,"Beef tongue, raw","Organ Meat","64.5","630.9859","41.971832","45.35211","2.2535212","10.366198","0","16.90141","8.309859","374.6478873","887.3239437","194.3661972","8.084507042","0.478873239","0","0.026478873","0.352112676","0.957746479","11.94366197","1.83943662","0.873239437","0.01971831","0","0.010676056","0","0","0","1.633802817","0","0","0","0.321126761","1.825352113","1.805633803","3.126760563","3.23943662","0.887323944","0.549295775","1.732394366","1.357746479","2.008450704","2.673239437","45.07042254"
